"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","SHPRICE","TOT","IDX2015","A","2017",109.5325,
"DEU","SHPRICE","TOT","IDX2015","A","2018",107.8782,
"DEU","SHPRICE","TOT","IDX2015","A","2019",102.5257,
"DEU","SHPRICE","TOT","IDX2015","A","2020",101.9467,
"DEU","SHPRICE","TOT","IDX2015","A","2021",123.1311,
"GRC","SHPRICE","TOT","IDX2015","A","2017",100.0956,
"GRC","SHPRICE","TOT","IDX2015","A","2018",100.8969,
"GRC","SHPRICE","TOT","IDX2015","A","2019",107.7595,
"GRC","SHPRICE","TOT","IDX2015","A","2020",93.04646,
"GRC","SHPRICE","TOT","IDX2015","A","2021",117.6911,
"HUN","SHPRICE","TOT","IDX2015","A","2017",169.6171,
"HUN","SHPRICE","TOT","IDX2015","A","2018",179.0313,
"HUN","SHPRICE","TOT","IDX2015","A","2019",197.1123,
"HUN","SHPRICE","TOT","IDX2015","A","2020",176.7274,
"HUN","SHPRICE","TOT","IDX2015","A","2021",228.5557,
"ISL","SHPRICE","TOT","IDX2015","A","2017",115.8705,
"ISL","SHPRICE","TOT","IDX2015","A","2018",114.7347,
"ISL","SHPRICE","TOT","IDX2015","A","2019",123.1478,
"ISL","SHPRICE","TOT","IDX2015","A","2020",132.5601,
"ISL","SHPRICE","TOT","IDX2015","A","2021",202.2635,
"IRL","SHPRICE","TOT","IDX2015","A","2017",109.2447,
"IRL","SHPRICE","TOT","IDX2015","A","2018",106.5289,
"IRL","SHPRICE","TOT","IDX2015","A","2019",100.9723,
"IRL","SHPRICE","TOT","IDX2015","A","2020",102.4267,
"IRL","SHPRICE","TOT","IDX2015","A","2021",131.2487,
"ITA","SHPRICE","TOT","IDX2015","A","2017",101.2834,
"ITA","SHPRICE","TOT","IDX2015","A","2018",103.8973,
"ITA","SHPRICE","TOT","IDX2015","A","2019",103.9909,
"ITA","SHPRICE","TOT","IDX2015","A","2020",97.44501,
"ITA","SHPRICE","TOT","IDX2015","A","2021",121.76,
"JPN","SHPRICE","TOT","IDX2015","A","2017",104.6281,
"JPN","SHPRICE","TOT","IDX2015","A","2018",111.4699,
"JPN","SHPRICE","TOT","IDX2015","A","2019",102.8154,
"JPN","SHPRICE","TOT","IDX2015","A","2020",102.9397,
"JPN","SHPRICE","TOT","IDX2015","A","2021",125.8082,
"KOR","SHPRICE","TOT","IDX2015","A","2017",114.8489,
"KOR","SHPRICE","TOT","IDX2015","A","2018",115.7041,
"KOR","SHPRICE","TOT","IDX2015","A","2019",104.817,
"KOR","SHPRICE","TOT","IDX2015","A","2020",110.4356,
"KOR","SHPRICE","TOT","IDX2015","A","2021",154.6199,
"LUX","SHPRICE","TOT","IDX2015","A","2017",100.5694,
"LUX","SHPRICE","TOT","IDX2015","A","2018",99.56598,
"LUX","SHPRICE","TOT","IDX2015","A","2019",77.67138,
"LUX","SHPRICE","TOT","IDX2015","A","2020",59.94852,
"LUX","SHPRICE","TOT","IDX2015","A","2021",97.49128,
"MEX","SHPRICE","TOT","IDX2015","A","2017",111.6367,
"MEX","SHPRICE","TOT","IDX2015","A","2018",107.3901,
"MEX","SHPRICE","TOT","IDX2015","A","2019",97.96741,
"MEX","SHPRICE","TOT","IDX2015","A","2020",89.09683,
"MEX","SHPRICE","TOT","IDX2015","A","2021",112.5645,
"NLD","SHPRICE","TOT","IDX2015","A","2017",110.5136,
"NLD","SHPRICE","TOT","IDX2015","A","2018",112.6535,
"NLD","SHPRICE","TOT","IDX2015","A","2019",115.1279,
"NLD","SHPRICE","TOT","IDX2015","A","2020",112.6761,
"NLD","SHPRICE","TOT","IDX2015","A","2021",145.9432,
"NZL","SHPRICE","TOT","IDX2015","A","2017",121.3388,
"NZL","SHPRICE","TOT","IDX2015","A","2018",134.8975,
"NZL","SHPRICE","TOT","IDX2015","A","2019",152.9353,
"NZL","SHPRICE","TOT","IDX2015","A","2020",166.7853,
"NZL","SHPRICE","TOT","IDX2015","A","2021",182.3164,
"NOR","SHPRICE","TOT","IDX2015","A","2017",122.245,
"NOR","SHPRICE","TOT","IDX2015","A","2018",146.9248,
"NOR","SHPRICE","TOT","IDX2015","A","2019",147.6501,
"NOR","SHPRICE","TOT","IDX2015","A","2020",139.0697,
"NOR","SHPRICE","TOT","IDX2015","A","2021",181.5089,
"POL","SHPRICE","TOT","IDX2015","A","2017",117.2323,
"POL","SHPRICE","TOT","IDX2015","A","2018",114.101,
"POL","SHPRICE","TOT","IDX2015","A","2019",112.6804,
"POL","SHPRICE","TOT","IDX2015","A","2020",97.08381,
"POL","SHPRICE","TOT","IDX2015","A","2021",125.352,
"PRT","SHPRICE","TOT","IDX2015","A","2017",111.8613,
"PRT","SHPRICE","TOT","IDX2015","A","2018",122.5514,
"PRT","SHPRICE","TOT","IDX2015","A","2019",125.4017,
"PRT","SHPRICE","TOT","IDX2015","A","2020",128.1814,
"PRT","SHPRICE","TOT","IDX2015","A","2021",155.7326,
"SVK","SHPRICE","TOT","IDX2015","A","2017",122.5212,
"SVK","SHPRICE","TOT","IDX2015","A","2018",128.7521,
"SVK","SHPRICE","TOT","IDX2015","A","2019",132.6891,
"SVK","SHPRICE","TOT","IDX2015","A","2020",132.5243,
"SVK","SHPRICE","TOT","IDX2015","A","2021",144.1976,
"ESP","SHPRICE","TOT","IDX2015","A","2017",95.65353,
"ESP","SHPRICE","TOT","IDX2015","A","2018",89.79575,
"ESP","SHPRICE","TOT","IDX2015","A","2019",85.41149,
"ESP","SHPRICE","TOT","IDX2015","A","2020",69.75615,
"ESP","SHPRICE","TOT","IDX2015","A","2021",79.79064,
"SWE","SHPRICE","TOT","IDX2015","A","2017",110.3441,
"SWE","SHPRICE","TOT","IDX2015","A","2018",110.9219,
"SWE","SHPRICE","TOT","IDX2015","A","2019",117.8023,
"SWE","SHPRICE","TOT","IDX2015","A","2020",130.2888,
"SWE","SHPRICE","TOT","IDX2015","A","2021",178.6063,
"CHE","SHPRICE","TOT","IDX2015","A","2017",103.9174,
"CHE","SHPRICE","TOT","IDX2015","A","2018",104.9205,
"CHE","SHPRICE","TOT","IDX2015","A","2019",114.2022,
"CHE","SHPRICE","TOT","IDX2015","A","2020",118.4709,
"CHE","SHPRICE","TOT","IDX2015","A","2021",136.7952,
"TUR","SHPRICE","TOT","IDX2015","A","2017",122.7455,
"TUR","SHPRICE","TOT","IDX2015","A","2018",126.2625,
"TUR","SHPRICE","TOT","IDX2015","A","2019",123.0558,
"TUR","SHPRICE","TOT","IDX2015","A","2020",140.5114,
"TUR","SHPRICE","TOT","IDX2015","A","2021",187.146,
"GBR","SHPRICE","TOT","IDX2015","A","2017",111.8835,
"GBR","SHPRICE","TOT","IDX2015","A","2018",111.5282,
"GBR","SHPRICE","TOT","IDX2015","A","2019",110.3715,
"GBR","SHPRICE","TOT","IDX2015","A","2020",95.16901,
"GBR","SHPRICE","TOT","IDX2015","A","2021",106.1154,
"USA","SHPRICE","TOT","IDX2015","A","2017",110.9174,
"USA","SHPRICE","TOT","IDX2015","A","2018",118.4078,
"USA","SHPRICE","TOT","IDX2015","A","2019",120.4798,
"USA","SHPRICE","TOT","IDX2015","A","2020",118.3728,
"USA","SHPRICE","TOT","IDX2015","A","2021",152.1502,
"BRA","SHPRICE","TOT","IDX2015","A","2017",136.843,
"BRA","SHPRICE","TOT","IDX2015","A","2018",164.1337,
"BRA","SHPRICE","TOT","IDX2015","A","2019",202.3809,
"BRA","SHPRICE","TOT","IDX2015","A","2020",198.4697,
"BRA","SHPRICE","TOT","IDX2015","A","2021",234.806,
"CHL","SHPRICE","TOT","IDX2015","A","2017",130.6146,
"CHL","SHPRICE","TOT","IDX2015","A","2018",145.2496,
"CHL","SHPRICE","TOT","IDX2015","A","2019",135.1048,
"CHL","SHPRICE","TOT","IDX2015","A","2020",106.5155,
"CHL","SHPRICE","TOT","IDX2015","A","2021",118.0875,
"CHN","SHPRICE","TOT","IDX2015","A","2017",87.87812,
"CHN","SHPRICE","TOT","IDX2015","A","2018",79.73399,
"CHN","SHPRICE","TOT","IDX2015","A","2019",78.88381,
"CHN","SHPRICE","TOT","IDX2015","A","2020",84.38828,
"CHN","SHPRICE","TOT","IDX2015","A","2021",95.83553,
"COL","SHPRICE","TOT","IDX2015","A","2017",110.9004,
"COL","SHPRICE","TOT","IDX2015","A","2018",116.3269,
"COL","SHPRICE","TOT","IDX2015","A","2019",120.597,
"COL","SHPRICE","TOT","IDX2015","A","2020",98.27465,
"COL","SHPRICE","TOT","IDX2015","A","2021",103.3426,
"EST","SHPRICE","TOT","IDX2015","A","2017",135.7102,
"EST","SHPRICE","TOT","IDX2015","A","2018",144.1684,
"EST","SHPRICE","TOT","IDX2015","A","2019",144.3101,
"EST","SHPRICE","TOT","IDX2015","A","2020",139.8696,
"EST","SHPRICE","TOT","IDX2015","A","2021",199.9171,
"IND","SHPRICE","TOT","IDX2015","A","2017",112.9727,
"IND","SHPRICE","TOT","IDX2015","A","2018",129.4305,
"IND","SHPRICE","TOT","IDX2015","A","2019",140.262,
"IND","SHPRICE","TOT","IDX2015","A","2020",138.2809,
"IND","SHPRICE","TOT","IDX2015","A","2021",196.4027,
"IDN","SHPRICE","TOT","IDX2015","A","2017",116.9637,
"IDN","SHPRICE","TOT","IDX2015","A","2018",124.0269,
"IDN","SHPRICE","TOT","IDX2015","A","2019",128.3409,
"IDN","SHPRICE","TOT","IDX2015","A","2020",106.7073,
"IDN","SHPRICE","TOT","IDX2015","A","2021",126.7387,
"ISR","SHPRICE","TOT","IDX2015","A","2017",85.79356,
"ISR","SHPRICE","TOT","IDX2015","A","2018",88.73357,
"ISR","SHPRICE","TOT","IDX2015","A","2019",91.29548,
"ISR","SHPRICE","TOT","IDX2015","A","2020",88.19936,
"ISR","SHPRICE","TOT","IDX2015","A","2021",110.7992,
"LVA","SHPRICE","TOT","IDX2015","A","2017",189.1982,
"LVA","SHPRICE","TOT","IDX2015","A","2018",211.0535,
"LVA","SHPRICE","TOT","IDX2015","A","2019",213.0239,
"LVA","SHPRICE","TOT","IDX2015","A","2020",221.2987,
"LVA","SHPRICE","TOT","IDX2015","A","2021",254.1416,
"RUS","SHPRICE","TOT","IDX2015","A","2017",121.157,
"RUS","SHPRICE","TOT","IDX2015","A","2018",137.3069,
"RUS","SHPRICE","TOT","IDX2015","A","2019",159.5579,
"RUS","SHPRICE","TOT","IDX2015","A","2020",170.7097,
"RUS","SHPRICE","TOT","IDX2015","A","2021",223.0926,
"SVN","SHPRICE","TOT","IDX2015","A","2017",105.4775,
"SVN","SHPRICE","TOT","IDX2015","A","2018",112.9061,
"SVN","SHPRICE","TOT","IDX2015","A","2019",116.3612,
"SVN","SHPRICE","TOT","IDX2015","A","2020",114.7084,
"SVN","SHPRICE","TOT","IDX2015","A","2021",148.238,
"ZAF","SHPRICE","TOT","IDX2015","A","2017",105.6489,
"ZAF","SHPRICE","TOT","IDX2015","A","2018",108.7575,
"ZAF","SHPRICE","TOT","IDX2015","A","2019",108.3884,
"ZAF","SHPRICE","TOT","IDX2015","A","2020",104.3924,
"ZAF","SHPRICE","TOT","IDX2015","A","2021",129.4081,
"EA19","SHPRICE","TOT","IDX2015","A","2017",105.7795,
"EA19","SHPRICE","TOT","IDX2015","A","2018",105.2995,
"EA19","SHPRICE","TOT","IDX2015","A","2019",104.8939,
"EA19","SHPRICE","TOT","IDX2015","A","2020",101.0104,
"EA19","SHPRICE","TOT","IDX2015","A","2021",125.6433,
